sample_fp	plate	well	tile	cycle
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	2	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	2	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	2	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	2	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	3	8
